company,bspl,name,val,val_before,business,yeartime,ratio,financialstatements_id
AJ네트웍스,IS,매출액,4.86E+11,4.54E+11,도로와철도운송,2021,0.405207764,2
AJ네트웍스,IS,매출원가,-4.29E+11,-4.03E+11,도로와철도운송,2021,-0.358076118,2
AJ네트웍스,IS,판관비,0,0,도로와철도운송,2021,0,2
AJ네트웍스,IS,영업외손익,60612917435,-1131161860,도로와철도운송,2021,0.050586251,2
AJ네트웍스,IS,금융손익,-27407803511,-27623357942,도로와철도운송,2021,-0.02287397,2
AJ네트웍스,IS,법인세비용,-15615439072,-3988038468,도로와철도운송,2021,-0.013032313,2
AJ네트웍스,IS,중단영업손익,0,0,도로와철도운송,2021,0,2
AJ네트웍스,IS,당기순이익,74063252281,17120613068,도로와철도운송,2021,0.061811615,2
AJ네트웍스,BS,현금성자산,15573060373,13201292466,도로와철도운송,2021,0.012996945,2
AJ네트웍스,BS,금융자산,1.20E+11,1.36E+11,도로와철도운송,2021,0.099960237,2
AJ네트웍스,BS,재고자산,8754240693,21902138131,도로와철도운송,2021,0.007306103,2
AJ네트웍스,BS,유형자산,7.06E+11,6.71E+11,도로와철도운송,2021,0.589371771,2
AJ네트웍스,BS,무형자산,4443273727,3629830277,도로와철도운송,2021,0.003708262,2
AJ네트웍스,BS,투자주식,2.96E+11,2.91E+11,도로와철도운송,2021,0.246835044,2
AJ네트웍스,BS,기타자산,29989293346,69158532819,도로와철도운송,2021,0.025028426,2
AJ네트웍스,BS,자산총계,1.20E+12,1.20E+12,도로와철도운송,2021,1,2
AJ네트웍스,BS,금융부채,8.20E+11,9.01E+11,도로와철도운송,2021,0.68396779,2
AJ네트웍스,BS,기타부채,5884396398,4701450052,도로와철도운송,2021,0.004910992,2
AJ네트웍스,BS,충당부채,0,0,도로와철도운송,2021,0,2
AJ네트웍스,BS,부채총계,8.25E+11,9.06E+11,도로와철도운송,2021,0.688878783,2
AJ네트웍스,CF,영업활동현금흐름,-3552719342,-41627892364,도로와철도운송,2021,-0.002965024,2
AJ네트웍스,CF,투자활동현금흐름,85953615557,-34869834532,도로와철도운송,2021,0.071735059,2
AJ네트웍스,CF,재무활동현금흐름,-80031660848,45141850073,도로와철도운송,2021,-0.066792721,2
AK홀딩스,IS,매출액,51865248411,45515031643,화학,2021,0.067443871,3
AK홀딩스,IS,매출원가,-14562115782,-13902427765,화학,2021,-0.018936099,3
AK홀딩스,IS,판관비,0,0,화학,2021,0,3
AK홀딩스,IS,영업외손익,-7330045307,-17175787652,화학,2021,-0.009531751,3
AK홀딩스,IS,금융손익,-4242749510,-4754191477,화학,2021,-0.005517133,3
AK홀딩스,IS,법인세비용,4198865,-256680739,화학,2021,5.46E-06,3
AK홀딩스,IS,중단영업손익,0,0,화학,2021,0,3
AK홀딩스,IS,당기순이익,25734536677,9425944010,화학,2021,0.033464349,3
AK홀딩스,BS,현금성자산,0,6597902308,화학,2021,0,3
AK홀딩스,BS,금융자산,10067431183,8592279297,화학,2021,0.013091358,3
AK홀딩스,BS,재고자산,0,0,화학,2021,0,3
AK홀딩스,BS,유형자산,11491989918,11486230317,화학,2021,0.014943807,3
AK홀딩스,BS,무형자산,14615636619,14563052707,화학,2021,0.019005695,3
AK홀딩스,BS,투자주식,7.32E+11,6.33E+11,화학,2021,0.95199338,3
AK홀딩스,BS,기타자산,742681632,732840731,화학,2021,0.000965759,3
AK홀딩스,BS,자산총계,7.69E+11,6.74E+11,화학,2021,1,3
AK홀딩스,BS,금융부채,2.31E+11,1.57E+11,화학,2021,0.300492632,3
AK홀딩스,BS,기타부채,456799617,508788650,화학,2021,0.000594007,3
AK홀딩스,BS,충당부채,169819114,202997853,화학,2021,0.000220827,3
AK홀딩스,BS,부채총계,2.32E+11,1.58E+11,화학,2021,0.301307467,3
AK홀딩스,CF,영업활동현금흐름,35910233558,28552366266,화학,2021,0.046696492,3
AK홀딩스,CF,투자활동현금흐름,-1.09E+11,-76665717050,화학,2021,-0.141219511,3
AK홀딩스,CF,재무활동현금흐름,66091576684,52289023482,화학,2021,0.085943323,3
APS홀딩스,IS,매출액,11810634365,4535391221,디스플레이장비및부품,2021,0.043504162,4
APS홀딩스,IS,매출원가,-2727936003,-68041032,디스플레이장비및부품,2021,-0.010048281,4
APS홀딩스,IS,판관비,-7250824218,-14799605661,디스플레이장비및부품,2021,-0.026708221,4
APS홀딩스,IS,영업외손익,22502383045,-27475229431,디스플레이장비및부품,2021,0.082886938,4
APS홀딩스,IS,금융손익,1283329612,-2679153773,디스플레이장비및부품,2021,0.004727111,4
APS홀딩스,IS,법인세비용,-3686373739,-3112128912,디스플레이장비및부품,2021,-0.013578661,4
APS홀딩스,IS,중단영업손익,0,0,디스플레이장비및부품,2021,0,4
APS홀딩스,IS,당기순이익,21931213062,-43598767588,디스플레이장비및부품,2021,0.080783048,4
APS홀딩스,BS,현금성자산,32390672941,14027096732,디스플레이장비및부품,2021,0.119310194,4
APS홀딩스,BS,금융자산,31432935837,1806618900,디스플레이장비및부품,2021,0.115782395,4
APS홀딩스,BS,재고자산,0,0,디스플레이장비및부품,2021,0,4
APS홀딩스,BS,유형자산,58503021721,2260219017,디스플레이장비및부품,2021,0.215494346,4
APS홀딩스,BS,무형자산,725440773,922661729,디스플레이장비및부품,2021,0.002672142,4
APS홀딩스,BS,투자주식,1.49E+11,1.50E+11,디스플레이장비및부품,2021,0.547237637,4
APS홀딩스,BS,기타자산,12272964032,946395704,디스플레이장비및부품,2021,0.045207141,4
APS홀딩스,BS,자산총계,2.71E+11,1.89E+11,디스플레이장비및부품,2021,1,4
APS홀딩스,BS,금융부채,58675156159,24226024384,디스플레이장비및부품,2021,0.216128398,4
APS홀딩스,BS,기타부채,12157806360,6274171300,디스플레이장비및부품,2021,0.044782961,4
APS홀딩스,BS,충당부채,142159835,4491210,디스플레이장비및부품,2021,0.000523642,4
APS홀딩스,BS,부채총계,84672371378,23689474456,디스플레이장비및부품,2021,0.311888459,4
APS홀딩스,CF,영업활동현금흐름,1645938792,-6921445814,디스플레이장비및부품,2021,0.006062772,4
APS홀딩스,CF,투자활동현금흐름,-7688917336,-1633510685,디스플레이장비및부품,2021,-0.028321925,4
APS홀딩스,CF,재무활동현금흐름,16879554753,14955298000,디스플레이장비및부품,2021,0.062175397,4
AP시스템,IS,매출액,5.20E+11,5.83E+11,디스플레이장비및부품,2021,1.222126518,5
AP시스템,IS,매출원가,-4.13E+11,-4.92E+11,디스플레이장비및부품,2021,-0.970735949,5
AP시스템,IS,판관비,-43546206230,-46302358194,디스플레이장비및부품,2021,-0.10227361,5
AP시스템,IS,영업외손익,9764568474,-6645665715,디스플레이장비및부품,2021,0.022933288,5
AP시스템,IS,금융손익,1568713817,-4969211479,디스플레이장비및부품,2021,0.003684317,5
AP시스템,IS,법인세비용,-18114915782,-9507407119,디스플레이장비및부품,2021,-0.042545103,5
AP시스템,IS,중단영업손익,0,0,디스플레이장비및부품,2021,0,5
AP시스템,IS,당기순이익,56709601666,24000200814,디스플레이장비및부품,2021,0.13318946,5
AP시스템,BS,현금성자산,1.33E+11,54149726831,디스플레이장비및부품,2021,0.313440253,5
AP시스템,BS,금융자산,77453934489,74300635045,디스플레이장비및부품,2021,0.181910072,5
AP시스템,BS,재고자산,42555286703,58289343078,디스플레이장비및부품,2021,0.099946314,5
AP시스템,BS,유형자산,86946646969,95787190957,디스플레이장비및부품,2021,0.204204872,5
AP시스템,BS,무형자산,3344817878,4539927041,디스플레이장비및부품,2021,0.007855715,5
AP시스템,BS,투자주식,1994160000,1994160000,디스플레이장비및부품,2021,0.00468353,5
AP시스템,BS,기타자산,77120246333,77896762025,디스플레이장비및부품,2021,0.181126364,5
AP시스템,BS,자산총계,4.26E+11,3.69E+11,디스플레이장비및부품,2021,1,5
AP시스템,BS,금융부채,1.57E+11,1.96E+11,디스플레이장비및부품,2021,0.368469623,5
AP시스템,BS,기타부채,43909548521,27390990510,디스플레이장비및부품,2021,0.103126964,5
AP시스템,BS,충당부채,16162762443,18021047066,디스플레이장비및부품,2021,0.037960231,5
AP시스템,BS,부채총계,2.37E+11,2.32E+11,디스플레이장비및부품,2021,0.55594013,5
AP시스템,CF,영업활동현금흐름,65440298647,61161179572,디스플레이장비및부품,2021,0.153694573,5
AP시스템,CF,투자활동현금흐름,4502366719,918538719,디스플레이장비및부품,2021,0.010574361,5
AP시스템,CF,재무활동현금흐름,6312708410,-33376502571,디스플레이장비및부품,2021,0.014826171,5
AP위성,IS,매출액,40201720460,45379281619,핸드셋,2021,0.36156475,6
AP위성,IS,매출원가,-31107817169,-34446527593,핸드셋,2021,-0.279776338,6
AP위성,IS,판관비,-8251704822,-6556311290,핸드셋,2021,-0.074213878,6
AP위성,IS,영업외손익,-441792319,-3856471356,핸드셋,2021,-0.003973375,6
AP위성,IS,금융손익,1395367465,289197126,핸드셋,2021,0.012549604,6
AP위성,IS,법인세비용,-394032781,-2170590148,핸드셋,2021,-0.003543837,6
AP위성,IS,중단영업손익,0,0,핸드셋,2021,0,6
AP위성,IS,당기순이익,1401740834,-1361421642,핸드셋,2021,0.012606925,6
AP위성,BS,현금성자산,65678177460,67217150396,핸드셋,2021,0.590693969,6
AP위성,BS,금융자산,9554487678,7204601041,핸드셋,2021,0.085930799,6
AP위성,BS,재고자산,10928927149,10535658982,핸드셋,2021,0.098292182,6
AP위성,BS,유형자산,9696382498,10204062612,핸드셋,2021,0.087206967,6
AP위성,BS,무형자산,111211304,169364972,핸드셋,2021,0.001000208,6
AP위성,BS,투자주식,0,0,핸드셋,2021,0,6
AP위성,BS,기타자산,14702310516,16939912951,핸드셋,2021,0.132229098,6
AP위성,BS,자산총계,1.11E+11,1.13E+11,핸드셋,2021,1,6
AP위성,BS,금융부채,4479741240,4408893050,핸드셋,2021,0.040289731,6
AP위성,BS,기타부채,25280927313,27733471356,핸드셋,2021,0.227370671,6
AP위성,BS,충당부채,322720379,704148371,핸드셋,2021,0.002902471,6
AP위성,BS,부채총계,30083388932,32846512777,핸드셋,2021,0.270562873,6
AP위성,CF,영업활동현금흐름,-1505269983,15507478599,핸드셋,2021,-0.013538042,6
AP위성,CF,투자활동현금흐름,11124081,-478415956,핸드셋,2021,0.000100047,6
